Fire,main building is on fire,14,Building,11/08/2022 08:48:06,yugi,null,inprogress
New building,I plan to build new building next year.,58,Building,15/09/2022 09:48:06,eula,null,inprogress
A beehive,Klee found a beehive near canteen,40,Building,16/09/2022 10:48:06,klee,I will tell police,inprogress
boring,เนื้อหาเรียนมันไม่อัพเดท ได้ความรู้ผิดๆ,20,Learning,17/09/2022 08:14:12,emiya,null,inprogress
ตะลัยมาช้ามาก,รอรถตะลัยช้ามาก ต่อให้ถึงมหาลัยเร็ว ก็เกือบเข้าเรียนสายเพราะรถมาช้า ควรเพิ่มรถเพิ่มรอบ,50,Traffic,18/09/2022 08:15:31,emiya,null,inprogress
บุคลากรมีพฤติกรรมไม่เหมาะสม,ผมพบว่า มีบุคลากรภายในคณะบางคน สูบบุหรี่ในพื้นที่สาธารณะ สร้างความรำคาญอย่างมากครับ,5,Person,20/09/2022 08:17:46,jojo,null,inprogress
น้ำรั่ว,น้ำในห้องน้ำรั่วซึมมาจากชักโครก ส่งกลิ่นเหม็นมาก,27,Facilities,22/09/2022 08:21:50,jojo,null,inprogress
คนขับรถ,คนขับรถรับส่งไม่หยุดรอให้ดิฉันเดินข้ามทางม้าลายค่ะ,5,Traffic,23/09/2022 08:23:26,eula,null,inprogress
เนื้อหาบิดเบือน,เนื้อหาวิชาภาษามีบทที่บิดเบือนจากความเป็นจริง,15,Learning,25/09/2022 08:23:26,raiden,null,inprogress
ทำลายตึก,อีก2เดือนจะมีการทำลายอาคารเก่าเพื่อสร้างขึ้นมาใหม่ โปรดย้ายสัมภาระของท่านด้วย,62,Building,30/09/2022 08:23:26,amuro,null,inprogress
รถตืด,รถติดมากกลับบ้านช้า หาตำรวจมาโบกรถหน่อย,90,Traffic,01/10/2022 08:23:26,emiya,null,inprogress
คอมพัง,คอมในห้องแลปเปิดเครื่องไม่ติดค่ะ,50,Facilities,03/10/2022 8:30:26,klee,ซื้อคอมใหม่,processing
เรียนไม่ทัน,การเรียนวิชานี้ใช้เวลาน้อยเกินไปเก็บเนื้อหาไม่ทันครับ,10,Learning,07/10/2022 13:23:26,yugi,null,inprogress
สายไฟขาด,สายไฟในห้องไฟมันขาด หาคนมาซ่อมหน่อยครับ,42,Facilities,08/10/2022 11:23:26,emiya,,success
ระวังรถเร็ว,อาเนียเกือบโดนรถชนเพราะมีรถขับเร็วมาก,30,Traffic,10/10/2022 14:23:26,anya,null,inprogress
ร้านอาหารปิด,ร้านอาหารไม่เปิดให้บริการในวันที่มีเรียน,40,Facilities,10/10/2022 15:00:26,ayaka,null,inprogress
วินขับอันตราย,พี่วินช่วยขับช้าๆหน่อยนะคะ,60,Traffic,11/10/2022 08:23:26,emiya,null,inprogress
7-11,เซเว่นปิด3ทุ่ม,150,Facilities,11/10/2022 20:23:26,emiya,null,inprogress
ยามหาย,พี่ยามหายไปไหน ในบางช่วงมันรู้สึกไม่ปลอดภัย,10,Person,12/10/2022 22:23:26,klee,null,inprogress
แม่ค้า,แม่ค้าขายของขวางทางเดิน,40,Person,13/10/2022 12:23:26,amuro,null,inprogress
เนื้อหาไม่ตรง,เนื้อหาที่เรียนไม่ตรงกับที่ออกสอบ,10,Learning,13/10/2022 20:23:26,klee,null,inprogress
รถสัญจรขับเร็วเกินไป,รถที่ใช้เส้นทางในมหาลัยขับรถเร็วจนเกินไป,70,Traffic,15/10/2022 16:23:26,naruto,null,inprogress
เว็บล่ม,เว็บล่มตอนลงทะเบียนเรียน ทำให้ลงเรียนวิชาที่ต้องการไม่ทัน,100,Learning,17/10/2022 07:23:26,anya,null,inprogress
บุคลากรทำความสะอาด,บุคลากรที่ทำความสะอาด ชอบมาทำความสะอาดใกล้ๆเวลาทานข้าว ทำให้มีโอกาสที่มีเศษฝุ่นปะปนในอาหาร,80,Person,19/10/2022 09:23:26,naruto,null,inprogress
ลิฟต์ปิด,ลิฟท์เปิดให้ใช้แค่2ตัว ทำให้เสียเวลารอนานมากๆ,200,Building,21/10/2022 08:23:26,emiya,null,inprogress
aa,aa,0,Person,16/11/2022 14:10:25,a,null,inprogress
พื้นลื่น,พื้นลื่นมากที่ห้องน้ำชั้น7,0,Person,16/11/2022 16:24:34,e,null,inprogress
น้ำท่วมขัง,น้ำท่วมขังที่หน้าคณะวิทย์,0,Facilities,16/11/2022 16:25:37,e,null,inprogress
ตึกเก่า,ตึกสีจางมาก,0,Building,16/11/2022 16:26:17,e,null,inprogress
อาจารย์ปล่อยช้า,จัดการเนื้อหาการสอนไม่ทันเวลา,0,Person,16/11/2022 16:29:23,naruto,null,inprogress
ตึกมืด,ควรเพิ่มเเสงใหม่สว่างกว่านี้,0,Building,16/11/2022 16:30:13,naruto,null,inprogress
ห้องน้ำไม่สะอาด,โถส้วมมีคราบเหลือง,0,Person,16/11/2022 16:33:07,emiya,null,inprogress
สอนไม่ตรงตามตาราง,อาจารย์สอนไม่ตรงตามตารางที่กำหนด,0,Learning,16/11/2022 16:35:10,eula,null,inprogress
เเม่ค้าพูดจาไม่ดี,เเม่ค้าร้านอาหารพูดจาวาไม่ดีใส่นิสิต,0,Person,16/11/2022 16:50:17,naruto,null,inprogress
เจ้าหน้าที่กวาดขยะใส่ท่อ,เจ้าหน้าที่กวาดขยะใส่ท่อระบายน้ำ,0,Person,16/11/2022 16:51:25,naruto,null,inprogress
